cell_label,atoms_in_cell
498350375042,4
498350395027,1
498350395043,3
498350415028,1
498449885004,2
498449895002,1
498449895003,14
498449905001,2
498449905002,12
498449905003,7
498449915001,5
498449915002,10
498449915003,16
498449925001,1
498449925002,1
498449935000,8
498449935001,2
498449935002,8
498449935003,3
498449945000,2
498449945001,3
498449945002,9
498449945003,8
498449945004,2
498450285038,1
498450285039,1
498450295038,3
498450295039,4
498450295040,2
498450295042,1
498450305038,1
498450305039,3
498450305042,7
498450315040,1
498450315041,1
498450315042,4
498450325035,1
498450325037,1
498450325040,2
498450335034,3
498450335035,20
498450335036,5
498450335037,6
498450335038,1
498450335039,5
498450335040,3
498450345032,11
498450345033,7
498450345034,7
498450345035,3
498450345036,4
498450345037,9
498450345038,14
498450345039,2
498450345040,5
498450355031,1
498450355032,7
498450355033,2
498450355037,13
498450355038,7
498450355039,3
498450355040,4
498450365031,1
498450365037,4
498450365038,5
498450365039,1
498450365040,1
498450365041,5
498450365042,4
498450365043,2
498450375031,1
498450375041,1
498450375042,14
498450375043,4
498450385027,5
498450385042,4
498450385043,5
498450395026,3
498450395027,3
498450395042,4
498450395043,4
498450405026,1
498450405027,8
498450405028,4
498450405030,2
498450405031,2
498450415027,7
498450415028,7
498450415029,4
498450415030,2
498549885004,7
498549895003,2
498549905002,1
498549905003,2
498549915001,2
498549915002,14
498549915003,3
498549925002,4
498549925003,2
498549935002,2
498549935003,2
498549945003,4
498549945004,3
498550295039,2
498550295040,1
498550295041,4
498550295042,5
498550305039,3
498550305040,12
498550305041,5
498550305042,4
498550315039,3
498550315041,3
498550325040,2
498550335036,1
498550345032,5
498550345033,1
498550345040,6
498550355030,1
498550355031,2
498550355032,2
498550355040,4
498550365030,1
498550365031,7
498550365041,8
498550365042,7
498550365043,1
498550375029,3
498550375030,3
498550375031,4
498550375040,1
498550375041,6
498550375042,5
498550375043,2
498550385027,6
498550385028,4
498550385029,1
498550385030,5
498550385040,9
498550385041,11
498550385042,4
498550385043,1
498550395039,1
498550395040,8
498550395041,1
498550405030,8
498649845005,4
498649855005,24
498649855006,3
498649865005,3
498649865006,7
498649885004,8
498649885005,5
498649885006,1
498649935002,10
498649935003,3
498649945002,5
498649945003,4
498649945004,3
498650295040,11
498650295041,4
498650305039,7
498650305040,12
498650305041,15
498650305042,3
498650315039,3
498650315040,1
498650315041,2
498650345040,2
498650345041,1
498650355040,12
498650355041,12
498650355042,1
498650365041,13
498650365042,7
498650375030,12
498650375040,7
498650375041,22
498650375042,2
498650385029,3
498650385030,7
498650385039,2
498650385040,20
498650385041,17
498650385042,1
498650395029,4
498650395030,9
498650395039,3
498650395040,27
498650395041,8
498650395042,2
498650405030,12
498650405031,2
498749845005,2
498749845006,1
498749855005,13
498749855006,1
498749865004,4
498749865005,7
498749865006,10
498749875004,15
498749875005,8
498749875006,9
498749885004,20
498749885005,21
498749885006,7
498749895004,3
498749895005,4
498750305039,25
498750305040,2
498750315039,12
498750315040,1
498750365040,6
498750365041,19
498750365042,2
498750375030,1
498750375040,5
498750375041,21
498750375042,2
498750385029,4
498750385030,10
498750385039,16
498750385040,13
498750395029,4
498750395030,17
498750395031,6
498750395040,6
498750395041,2
498750405030,7
498750405031,6
498849865004,2
498849865005,4
498849875005,11
498849875006,23
498849885004,9
498849885005,22
498849885006,30
498849885007,4
498849895005,8
498849895006,4
498849895007,4
498849905005,2
498849905006,3
498849905007,1
498849915005,2
498849915006,2
498850305039,5
498850315039,1
498850365040,1
498850365041,2
498850375040,2
498850375041,1
498850385030,1
498850385031,3
498850385039,3
498850385040,3
498850385041,2
498850395030,3
498850395031,2
498949875005,5
498949875006,3
498949875007,2
498949875008,8
498949885004,3
498949885005,9
498949885006,23
498949885007,3
498949895005,3
498949895006,10
498949895007,5
498949905004,18
498949915003,1
498949915004,6
498949915005,6
498949925005,5
498949925006,1
498949935005,2
498949935007,1
498949945005,3
498949945006,1
498949945008,2
498949945009,1
498949955007,2
498949955008,6
498949965007,2
499049875007,5
499049875008,2
499049885005,4
499049885006,2
499049885007,3
499049885008,8
499049895005,3
499049895006,14
499049895007,13
499049895008,8
499049895009,4
499049904999,1
499049905004,10
499049905005,9
499049905006,6
499049905007,1
499049905008,3
499049914998,1
499049915003,15
499049915004,7
499049924999,1
499049925003,4
499049925004,4
499049925005,9
499049925006,1
499049935005,5
499049935006,5
499049935007,11
499049945003,4
499049945004,4
499049945005,7
499049945006,3
499049945007,3
499049945008,2
499049945009,3
499049955003,3
499049955004,6
499049955005,6
499049955006,4
499049955007,13
499049955008,2
499049955009,1
499049964992,2
499049964993,4
499049965003,1
499049965007,1
499050014995,1
499149885005,1
499149895006,2
499149895007,4
499149895008,3
499149895009,6
499149904999,3
499149905008,1
499149905009,2
499149914998,13
499149914999,20
499149915000,6
499149915003,2
499149915004,4
499149924997,3
499149924998,3
499149924999,7
499149925003,1
499149925004,5
499149934997,5
499149934998,1
499149935004,1
499149935005,4
499149935006,7
499149935007,1
499149944997,6
499149945007,3
499149945008,3
499149945009,1
499149954992,1
499149954997,1
499149955003,5
499149955004,6
499149955005,5
499149955007,18
499149964992,2
499149964993,13
499149964994,1
499149964996,2
499149964997,3
499149965003,3
499149965004,1
499149974993,1
499150004997,1
499150004998,2
499150014995,3
499150014996,5
499150014997,5
499150014998,1
499150024995,8
499150024996,10
499150024997,1
499249895009,4
499249904999,1
499249905000,5
499249905006,1
499249905007,4
499249905008,11
499249905009,2
499249914998,2
499249914999,10
499249915000,6
499249915001,2
499249915004,2
499249915005,1
499249915007,1
499249924998,1
499249924999,6
499249925000,3
499249925001,3
499249925004,9
499249925005,2
499249934993,2
499249934994,3
499249935003,2
499249935004,18
499249935005,11
499249944993,4
499249944994,5
499249945003,2
499249945004,10
499249945005,2
499249954992,1
499249954993,6
499249954997,2
499249955004,8
499249955005,2
499249964992,2
499249964993,13
499249964994,5
499249964996,9
499249974993,2
499249974994,7
499249974995,1
499249974996,7
499249974997,2
499249984995,3
499249984996,1
499249984997,3
499249994995,1
499249994996,3
499250004997,6
499250004998,4
499250014994,2
499250014996,1
499250014997,2
499250024995,11
499250024996,2
499250024997,2
499250034996,3
499349905005,3
499349905006,5
499349905008,3
499349915000,1
499349915001,2
499349915004,2
499349915006,5
499349915007,1
499349915008,2
499349925001,10
499349925002,8
499349925003,3
499349925004,4
499349934994,5
499349935003,3
499349935004,9
499349935005,6
499349945005,1
499349954991,5
499349954992,5
499349954993,4
499349955004,1
499349964992,1
499349964993,5
499349964994,6
499349964995,1
499349964996,7
499349964997,1
499349974994,1
499349974995,3
499349974996,3
499349974997,1
499349984995,7
499349984996,7
499349984997,5
499349994995,9
499349994996,15
499349994997,4
499350004994,10
499350004996,6
499350004997,4
499350014994,6
499350014995,7
499350014996,4
499350014997,4
499350014998,3
499350024994,1
499350024995,18
499350024996,9
499350024997,4
499350034995,8
499350034996,4
499350044995,2
499449895007,6
499449905001,1
499449905002,1
499449905003,4
499449905004,3
499449905006,6
499449905007,1
499449915001,6
499449915002,12
499449915003,3
499449915004,5
499449915005,4
499449925001,12
499449925002,8
499449925004,5
499449925005,1
499449934994,1
499449935001,1
499449944994,4
499449954991,4
499449954992,7
499449984992,2
499449984993,2
499449984995,1
499449984996,5
499449984997,10
499449994992,1
499449994994,2
499449994995,10
499449994996,7
499449994997,3
499450004994,1
499450004995,2
499450004996,7
499450004997,2
499450014995,1
499450014996,4
499450014997,2
499450014998,2
499450024994,2
499450024995,3
499450024996,2
499450024997,2
499450024998,3
499450034994,3
499450034995,4
499549885006,1
499549895003,6
499549895004,2
499549895006,8
499549895007,3
499549905000,1
499549905002,2
499549905003,13
499549905004,6
499549905005,3
499549905006,7
499549905007,6
499549915001,9
499549915002,13
499549915003,3
499549915004,2
499549915005,12
499549915006,4
499549925000,1
499549925001,6
499549925004,12
499549925005,13
499549925006,9
499549935004,3
499549935005,7
499549935006,5
499549944994,3
499549945006,9
499549954992,4
499549954994,3
499549955005,1
499549964992,2
499549964993,1
499549964994,10
499549974993,14
499549974994,4
499549984991,1
499549984992,2
499549984993,3
499549984995,1
499549984996,17
499549994991,2
499549994992,4
499549994996,9
499550004994,3
499550004996,1
499550024994,2
499550024995,7
499550024996,4
499550034995,2
499649895003,4
499649895006,1
499649905003,1
499649905005,1
499649905006,1
499649905007,3
499649915002,1
499649915005,3
499649915006,16
499649915007,11
499649925005,1
499649925006,5
499649925007,4
499649935005,6
499649935006,6
499649935007,1
499649944990,1
499649944991,3
499649945003,2
499649945004,9
499649945005,8
499649945006,19
499649945007,1
499649954990,2
499649954991,1
499649954993,3
499649954994,13
499649954995,7
499649955004,1
499649955005,2
499649955006,1
499649964992,14
499649964993,2
499649964994,18
499649964995,8
499649974992,6
499649974993,12
499649974994,31
499649974995,5
499649984990,1
499649984991,5
499649984992,4
499649984993,3
499649984994,8
499649994992,3
499649994993,4
499649994994,4
499649994995,1
499649994996,4
499650004992,1
499650004993,8
499650004994,6
499650004995,3
499650004996,6
499650004997,17
499650004998,1
499650014992,1
499650014995,2
499650014997,1
499650024995,3
499650024996,8
499749905007,9
499749915005,1
499749915006,16
499749915007,17
499749925006,4
499749925007,1
499749925008,2
499749935005,2
499749935006,24
499749935007,1
499749935008,9
499749944989,1
499749944990,8
499749944991,5
499749944992,1
499749945004,7
499749945008,1
499749954990,5
499749954991,11
499749954992,4
499749954993,4
499749954994,1
499749955004,5
499749955005,6
499749955006,1
499749955007,1
499749955008,3
499749964991,1
499749964992,3
499749964994,4
499749965005,2
499749965006,11
499749965007,2
499749974991,1
499749974992,4
499749974993,6
499749974994,2
499749974999,4
499749984991,13
499749984992,17
499749984993,8
499749984994,18
499749984998,1
499749984999,7
499749994991,3
499749994992,13
499749994993,3
499749994994,5
499749994995,1
499750004992,4
499750004993,15
499750004995,10
499750004996,3
499750004997,3
499750014993,1
499750014994,1
499750014995,10
499750014996,7
499750014997,6
499750024995,3
499750024996,7
499849915006,6
499849915007,15
499849925006,8
499849925008,3
499849935005,1
499849935006,39
499849935007,8
499849935008,8
499849944990,1
499849944991,1
499849944993,1
499849945004,3
499849945005,6
499849945007,1
499849945008,2
499849945009,2
499849954991,8
499849954992,7
499849954993,7
499849955004,2
499849955005,7
499849955006,5
499849955007,7
499849955008,7
499849955009,2
499849964991,3
499849964996,2
499849964998,2
499849965005,1
499849965006,7
499849965007,5
499849965008,3
499849974991,2
499849974993,1
499849974997,5
499849974998,9
499849974999,9
499849975000,2
499849984991,10
499849984992,1
499849984993,2
499849984994,16
499849984998,3
499849984999,12
499849985000,7
499849994993,3
499849994994,6
499849994998,6
499849994999,7
499949915007,1
499949925005,1
499949925006,13
499949925007,4
499949935005,4
499949935006,18
499949935007,4
499949944993,1
499949944994,1
499949944995,1
499949945004,2
499949945005,3
499949945006,1
499949945008,3
499949954991,1
499949954993,1
499949954994,8
499949954997,1
499949955004,1
499949955009,1
499949964991,1
499949964996,14
499949964997,21
499949964998,4
499949964999,1
499949974991,6
499949974996,6
499949974997,19
499949974998,21
499949974999,7
499949975000,2
499949984991,2
499949984994,3
499949984997,10
499949984998,25
499949984999,12
499949985000,2
499949994998,6
499949994999,4
499950005000,1
500049925006,2
500049935005,1
500049935006,15
500049935007,1
500049944994,2
500049944995,6
500049945006,1
500049954994,1
500049954995,3
500049954996,1
500049964996,8
500049964997,8
500049964998,13
500049964999,1
500049974996,6
500049974997,24
500049974998,36
500049974999,6
500049975000,1
500049984996,1
500049984997,19
500049984998,24
500049984999,45
500049985000,7
500049994999,3
500049995000,9
500050005000,10
500149944995,1
500149944996,1
500149954995,2
500149954996,9
500149964996,11
500149964997,2
500149964998,9
500149974998,6
500149974999,7
500149984999,6
500149994999,1
500149995000,11
500150005000,1
500249964998,11
500249964999,7
500249974998,2
500249974999,10
500349964998,7
500349964999,5
500349974998,1
500349974999,2
